year,fatals,non_fatals,Total
1900,3.0,7.0,10.0
1901,3.0,4.0,7.0
1902,5.0,8.0,13.0
1903,8.0,2.0,10.0
1904,10.0,3.0,13.0
1905,6.0,6.0,12.0
1906,11.0,7.0,18.0
1907,12.0,8.0,20.0
1908,10.0,1.0,11.0
1909,8.0,7.0,15.0
1910,4.0,5.0,9.0
1911,8.0,7.0,15.0
1912,7.0,6.0,13.0
1913,6.0,9.0,15.0
1914,6.0,10.0,16.0
1915,3.0,6.0,9.0
1916,12.0,12.0,24.0
1917,5.0,6.0,11.0
1918,3.0,2.0,5.0
1919,5.0,8.0,13.0
1920,4.0,10.0,14.0
1921,6.0,5.0,11.0
1922,13.0,7.0,20.0
1923,6.0,11.0,17.0
1924,5.0,12.0,17.0
1925,3.0,10.0,13.0
1926,9.0,10.0,19.0
1927,7.0,12.0,19.0
1928,6.0,16.0,22.0
1929,14.0,22.0,36.0
1930,8.0,16.0,24.0
1931,8.0,17.0,25.0
1932,7.0,17.0,24.0
1933,5.0,16.0,21.0
1934,11.0,15.0,26.0
1935,9.0,17.0,26.0
1936,9.0,22.0,31.0
1937,11.0,14.0,25.0
1938,7.0,16.0,23.0
1939,9.0,13.0,22.0
1940,9.0,12.0,21.0
1941,9.0,17.0,26.0
1942,16.0,22.0,38.0
1943,13.0,10.0,23.0
1944,17.0,12.0,29.0
1945,8.0,8.0,16.0
1946,5.0,21.0,26.0
1947,6.0,22.0,28.0
1948,11.0,17.0,28.0
1949,9.0,17.0,26.0
1950,10.0,29.0,39.0
1951,11.0,18.0,29.0
1952,9.0,18.0,27.0
1953,6.0,29.0,35.0
1954,15.0,22.0,37.0
1955,12.0,29.0,41.0
1956,21.0,28.0,49.0
1957,10.0,27.0,37.0
1958,18.0,30.0,48.0
1959,24.0,56.0,80.0
1960,14.0,66.0,80.0
1961,13.0,59.0,72.0
1962,16.0,61.0,77.0
1963,14.0,40.0,54.0
1964,16.0,41.0,57.0
1965,9.0,34.0,43.0
1966,15.0,34.0,49.0
1967,10.0,30.0,40.0
1968,5.0,32.0,37.0
1969,0.0,25.0,25.0
1970,8.0,30.0,38.0
1971,8.0,20.0,28.0
1972,8.0,25.0,33.0
1973,9.0,17.0,26.0
1974,9.0,29.0,38.0
1975,6.0,38.0,44.0
1976,6.0,30.0,36.0
1977,4.0,19.0,23.0
1978,2.0,20.0,22.0
1979,8.0,16.0,24.0
1980,6.0,25.0,31.0
1981,5.0,38.0,43.0
1982,6.0,27.0,33.0
1983,4.0,39.0,43.0
1984,5.0,28.0,33.0
1985,3.0,29.0,32.0
1986,3.0,32.0,35.0
1987,6.0,24.0,30.0
1988,7.0,44.0,51.0
1989,6.0,39.0,45.0
1990,3.0,32.0,35.0
1991,6.0,31.0,37.0
1992,9.0,41.0,50.0
1993,16.0,39.0,55.0
1994,10.0,43.0,53.0
1995,12.0,53.0,65.0
1996,11.0,45.0,56.0
1997,8.0,44.0,52.0
1998,9.0,54.0,63.0
1999,5.0,58.0,63.0
2000,18.0,73.0,91.0
2001,6.0,81.0,87.0
2002,10.0,74.0,84.0
2003,8.0,78.0,86.0
2004,14.0,69.0,83.0
2005,7.0,84.0,91.0
2006,10.0,83.0,93.0
2007,5.0,96.0,101.0
2008,10.0,100.0,110.0
2009,13.0,97.0,110.0
2010,8.0,89.0,97.0
2011,14.0,104.0,118.0
2012,9.0,98.0,107.0
2013,13.0,101.0,114.0
2014,7.0,111.0,118.0
2015,9.0,121.0,130.0
2016,5.0,113.0,118.0
2017,8.0,115.0,123.0
2018,1.0,51.0,52.0
